application_id,programme_id,Programme,Application Status,Merit Score,nts_ok_flag,every_thing_ok_in_education,Domicile,OPEN List Status,BWP List Status,Gender,DOB,Religion,Blood Group,Nationality,Hafiz e Quran,NCC,Province,g_monthly_income,g_profession,g_city,g_relation,financial_help,hostel,quota_fata,quota_baluchistan,quota_ajk,quota_gilgit,quota_op,quota_army,quota_iub_tchr_emp,quota_industrial,quota_pharmaceutical,special_person,dept_test_marks,particular_test_name,Admission Test,particular_test_roll_no,particular_test_total,particular_test_name2,Admission Test 2,particular_test_roll_no2,particular_test_total2,ap_fee_challan_nr,dept_test_marks,application_date,uploaded_challan,challan_upload_date,ssc_year,ssc_roll_no,ssc_obtained,ssc_total,ssc_exam,ssc_exam_type,ssc_board,ssc_subject_group,hsc_year,hsc_roll_no,Terminal Degree,hsc_total,hsc_exam,hsc_exam_type,hsc_board,hsc_subject_group,hsc_opt_1_name,hsc_opt_1_obtained,hsc_opt_1_total,hsc_opt_2_name,hsc_opt_2_obtained,hsc_opt_2_total,hsc_opt_3_name,hsc_opt_3_obtained,hsc_opt_3_total,hsc_opt_4_name,hsc_opt_4_obtained,hsc_opt_4_total,hsc_opt_5_name,hsc_opt_5_obtained,hsc_opt_5_total,hsc_opt_6_name,hsc_opt_6_obtained,hsc_opt_6_total,grad_year,grad_roll_no,Terminal Degree 2,grad_obtained,grad_exam,grad_exam_type,grad_institute,grad_eng_obtained,grad_eng_total,grad_opt_1_name,grad_opt_1_obtained,grad_opt_1_total,grad_opt_2_name,grad_opt_2_obtained,grad_opt_2_total,grad_opt_3_name,grad_opt_3_obtained,grad_opt_3_total,grad_opt_4_name,grad_opt_4_obtained,grad_opt_4_total,grad_opt_5_name,grad_opt_5_obtained,grad_opt_5_total,Document Verified,English Marks,Offered
1462031,146,Pharm-D,Application Fee Received,76.564,1,1,Bahawalpur,NA,NA,female,10/20/1999,Islam,B+,pakistani,No,0,Punjab,12000,shopkeeper,bahawalnagar,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,68,120061,100,MCAT,68,700777,1100,2031146,0,1/14/2018,,1/15/2018 12:17,2014,200624,903,1100,Matric/SSC,Annual,B.I.S.E Bahawalpur,Science,2016,601106,906,1100,FSc,Annual,B.I.S.E Bahawalpur,Pre-Medical,,160,200,,169,200,,47,50,,180,200,,45,50,,177,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461464,146,Pharm-D,Application Fee Received,70.691,0,1,Bahawalpur,NA,NA,male,12/11/1998,Islam,A+,Pakistan,Yes,0,Punjab,20000,Govt. Servant,Bahawalnagar,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,,87,,0,MCAT,87,17836,1100,1464146,0,12/28/2017,,1/9/2018 11:11,2014,210138,932,1100,Matric/SSC,Annual,BWP BROAD,Science,2016,603105,962,1100,FSc,Annual,BWP BROAD,Pre-Medical,,173,200,,42,50,,48,50,,184,200,,179,200,,180,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461831,146,Pharm-D,Application Fee Received,63.091,1,1,Bahawalpur,NA,NA,female,10/5/1999,Islam,,PAKISTAN,No,0,Punjab,15000,LABOUR,BAHAWALNAGAR,FATHER,No,No,No,No,No,No,No,No,No,No,No,No,0,NAT,50,31101,100,,0,,0,1831146,0,1/10/2018,,1/11/2018 6:15,2014,200594,737,1100,Matric/SSC,Annual,BISEBWP,Science,2017,900209,735,1100,FSc,Annual,BISEBWP,Pre-Medical,,138,200,,106,200,,126,200,,140,200,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461834,146,Pharm-D,Application Fee Received,78.945,1,1,Bahawalpur,NA,NA,female,5/27/2001,Islam,A+,pakistani ,No,0,Punjab,20000,farmer,chishtian,father ,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,54,1200586,100,,0,,0,1834146,0,1/10/2018,,1/12/2018 7:26,2015,805880,974,1100,Matric/SSC,Annual,bise bwp,Science,2017,604554,942,1100,FSc,Annual,bise bwp,Pre-Medical,,168,200,,169,200,,180,200,,0,0,,177,200,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462261,146,Pharm-D,Application Fee Received,69.236,1,1,Bahawalpur,NA,NA,female,11/25/1999,Islam,O+,Pakistani,No,0,Punjab,20000,Tent service,Bahawalnagar,Mother,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,48,A1815-120153,100,,0,,0,2261146,0,1/17/2018,,1/22/2018 9:18,2014,200471,852,1100,Matric/SSC,Annual,BWP Board/Government girls high school canal colony Bahawalnagar,Science,2017,900173,825,1100,FSc,Annual,BWP Bord,Pre-Medical,,164,200,,125,200,,164,200,,33,50,,146,200,,45,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462325,146,Pharm-D,Application Fee Received,74.891,1,1,Bahawalpur,NA,NA,male,2/17/2000,Islam,A+,Pakistani,No,0,Punjab,30000,Teacher,Bahawalnagar,Father,No,No,No,No,No,No,No,No,No,No,No,No,0,NAT,57,11714-120045,100,,0,,0,2325146,0,1/18/2018,,1/19/2018 12:23,2015,804768,870,1100,Matric/SSC,Annual,Bise Bahawalpur,Science,2017,609792,878,1100,FSc,Annual,Bise Bahawalpur,Pre-Medical,,152,200,,178,200,,157,200,,153,200,,47,50,,44,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462188,146,Pharm-D,Application Fee Received,84.6,1,1,Bahawalpur,NA,NA,female,10/6/1997,Islam,,Pakistani,No,0,Punjab,20000,Zargar,Bahawalnagar,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,88,1201967,100,MCAT,88,101418,1100,2188146,0,1/16/2018,,,2013,200030,914,1050,Matric/SSC,Annual,Bahawalpur board,Science,2016,601367,978,1100,FSc,Annual,Bahawalpur board,Pre-Medical,,180,200,,44,50,,48,50,,188,200,,174,200,,186,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461800,146,Pharm-D,Application Fee Received,57.436,1,1,Bahawalpur,NA,NA,female,7/8/2001,Islam,A+,Pakistani,No,0,Punjab,40000,Lawyer ,Bahawalpur,Father,No,No,No,No,No,No,No,No,No,No,No,No,0,NAT,45,I1715-120391,100,,0,,0,1800146,0,1/10/2018,,1/10/2018 11:03,2015,837235,761,1100,Matric/SSC,Annual,BISE BWP,Science,2017,625728,671,1100,FSc,Annual,BISE BWP,Pre-Medical,,145,200,,38,50,,28,50,,104,200,,125,200,,109,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461571,146,Pharm-D,Challan Printed,77.691,1,1,Bahawalpur,NA,NA,female,11/20/1998,Islam,A+,pakistani,No,0,Punjab,15000,farmer,Bahawalnagar,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,59,L1715-120143,100,,0,,0,1571146,0,1/2/2018,,,2015,801908,870,1100,Matric/SSC,Annual,BISE BWP,Science,2017,604372,911,1100,FSc,Annual,BISE BWP,Pre-Medical,,167,200,,172,200,,190,200,,44,50,,144,200,,46,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461639,146,Pharm-D,Application Fee Received,85.727,1,1,Bahawalpur,NA,NA,female,1/30/1998,Islam,B+,PAKISTANI,No,0,Punjab,30000,GOVT SERVANT,BAHAWALNAGAR,BROTHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,83,I1714-120046,100,MCAT,83,100739,1100,1639146,0,1/4/2018,,1/4/2018 9:10,2014,200769,943,1100,Matric/SSC,Annual,BISE BAHAWALPUR,Science,2017,900218,983,1100,FSc,Annual,BISE BAHAWALPUR,Pre-Medical,,174,200,,46,50,,44,50,,188,200,,186,200,,192,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462426,146,Pharm-D,Challan Printed,65.764,1,1,Bahawalpur,NA,NA,male,6/2/1997,Islam,O+,PAKISTANI,Yes,0,Punjab,25000,TEACHING,BAHAWAL NAGAR,FATHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,51,120459,100,,0,,0,2426146,0,1/20/2018,,1/22/2018 12:36,2015,802664,826,1100,Matric/SSC,Annual,BOARD OF INTERMEDIAT AND SECONDARY EDUCATION BAHAWAL PUR,Science,2017,602697,749,1100,FSc,Annual,BOARD OF INTERMEDIAT AND SECONDARY EDUCATION BAHAWAL PUR,Pre-Medical,,117,200,,45,50,,126,200,,152,200,,133,200,,46,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462416,146,Pharm-D,Challan Printed,80.691,1,1,Bahawalpur,NA,NA,female,11/10/2000,Islam,B+,pakistan,No,0,Punjab,50000,Govt Servant in agriculture department,Bahawalnagar,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,58,A1815-120024,100,,0,,0,2416146,0,1/20/2018,,1/22/2018 10:43,2015,160922,946,1050,Matric/SSC,Annual,Federal Board Islamabad,Science,2017,601085,955,1100,FSc,Annual,BISE Bahwalpur,Pre-Medical,,176,200,,185,200,,179,200,,177,200,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462160,146,Pharm-D,Application Fee Received,82.618,1,1,Bahawalpur,NA,NA,male,4/20/2001,Islam,O+,Pakistani,No,0,Punjab,41200,Teacher,Dahranwala,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,60,K1715-120166,100,,0,,0,2160146,0,1/16/2018,,1/16/2018 11:07,2015,809143,973,1100,Matric/SSC,Annual,BISE Bahawalpur,Science,2017,606057,976,1100,FSc,Annual,BISE Bahawalpur,Pre-Medical,,180,200,,47,50,,48,50,,189,200,,180,200,,166,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461946,146,Pharm-D,Application Fee Received,78.327,1,1,Bahawalpur,NA,NA,female,4/22/2000,Islam,,Pakistani,No,0,Punjab,50000,FARMER,CHISHTIAN,FATHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,56,120603,100,,0,,0,1946146,0,1/12/2018,,,2015,805532,921,1100,Matric/SSC,Annual,BISE BWP,Science,2017,604506,928,1100,FSc,Annual,BISE BWP,Pre-Medical,,167,200,,167,200,,172,200,,168,200,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462330,146,Pharm-D,Application Received,63.018,1,1,Bahawalpur,NA,NA,female,8/13/2000,Islam,A+,PAKISTANI,No,0,Punjab,14000,HOUSE WIFE,DAHRANWALA,MOTHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,50,I1715-120433,100,,0,,0,2330146,0,1/18/2018,,,2015,806733,697,1100,Matric/SSC,Annual,BISE BWP,Science,2017,604509,734,1100,FSc,Annual,BISE BWP,Pre-Medical,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462423,146,Pharm-D,Challan Printed,76.927,1,1,Bahawalpur,NA,NA,female,10/4/1998,Islam,O+,PAKISTANI,No,0,Punjab,18000,IMAM MASJID,CHISHTIAN,BROTHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,56,G1715-120624,100,MCAT,56,101178,1100,2423146,0,1/20/2018,,,2012,200977,698,1050,Matric/SSC,Annual,BOARD OF INTERMEDIATE AND SECONDARY EDUCATION BAHAWALPUR,Science,2017,604511,917,1100,FSc,Annual,BOARD OF INTERMEDIATE AND SECONDARY EDUCATION BAHAWALPUR,Pre-Medical,,169,200,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1462237,146,Pharm-D,Application Fee Received,75.018,1,1,Bahawalpur,NA,NA,female,7/18/1999,Islam,,Pakistani,No,0,Punjab,15000,*Late,CHISHTIAN,FATHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,50,F1715-120154,100,MCAT,42,101475,1100,2237146,0,1/17/2018,,,2015,805770,886,1100,Matric/SSC,Annual,BISE BWP,Science,2017,604398,899,1100,FSc,Annual,BISE BWP,Pre-Medical,,148,200,,176,200,,148,200,,177,200,,48,50,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461690,146,Pharm-D,Application Fee Received,82.036,1,1,Bahawalpur,NA,NA,female,11/14/1999,Islam,,Pakistani,No,0,Punjab,20000,TEACHER,CHISHTIAN,FATHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,68,1715-120297,100,MCAT,63,100470,1100,1690146,0,1/6/2018,,,2015,805888,938,1100,Matric/SSC,Annual,BISE BWP,Science,2017,604404,946,1100,FSc,Annual,BISE BWP,Pre-Medical,,159,200,,185,200,,173,200,,174,200,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461629,146,Pharm-D,Challan Printed,74.273,1,1,Bahawalpur,NA,NA,male,10/8/1999,Islam,,Pakistan,No,0,Punjab,30000,Business,Chishtian,Father,No,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,59,G1715-120389,100,,0,,0,1629146,0,1/3/2018,,1/24/2018 9:00,2015,807677,892,1100,Matric/SSC,Annual,Bahawalpur Board,Science,2017,606012,864,1100,FSc,Annual,Bahawalpur Board,Pre-Medical,,161,200,,43,50,,169,200,,41,50,,162,200,,145,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461631,146,Pharm-D,Application Fee Received,82.364,1,1,Bahawalpur,NA,NA,female,1/6/2000,Islam,,Pakistani ,No,0,Punjab,40000,Teacher,Chishtian,Father,No,No,No,No,No,No,No,No,No,No,No,No,0,NAT,73,G1715-120212,100,MCAT,73,101263,1100,1631146,0,1/4/2018,,1/5/2018 7:30,2015,806133,839,1100,Matric/SSC,Annual,BISE Bahawalpur,Science,2017,604539,945,1100,FSc,Annual,BISE Bahawalpur,Pre-Medical,,167,200,,179,200,,43,50,,171,200,,45,50,,174,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461889,146,Pharm-D,Application Fee Received,80.891,1,1,Bahawalpur,NA,NA,female,8/13/2000,Islam,A-,PAKISTANI,No,0,Punjab,100000,CIVIL ENGINEER,BAHAWALPUR,FATHER,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,79,F1715-120411,100,MCAT,79,10009,1100,1889146,0,1/11/2018,,1/11/2018 1:37,2015,158709,972,1050,Matric/SSC,Annual,FBISE ISLAMABAD,Science,2017,564033,922,1100,FSc,Annual,FBISE ISLAMABAD,Pre-Medical,,194,200,,157,200,,160,200,,49,50,,160,200,,50,50,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461676,146,Pharm-D,Application Fee Received,80.164,1,1,Bahawalpur,NA,NA,male,5/4/1997,Islam,B+,Pakistani,No,0,Punjab,48000,Govt. Servant,Bahawalpur,Father,Yes,No,No,No,No,No,No,No,No,No,No,No,0,NAT,67,E1715-120032,100,,0,,0,1676146,0,1/5/2018,,,2014,119132,926,1050,Matric/SSC,Annual,FBISE Islamabad,Science,2016,630454,928,1100,FSc,Annual,FBISE Islamabad,Pre-Medical,,154,200,,173,200,,181,200,,90,100,,150,200,,180,200,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
1461752,146,Pharm-D,Application Fee Received,78.127,1,1,Bahawalpur,NA,NA,male,11/15/1999,Islam,O+,Pakistani,No,0,Punjab,44903,Govt Employee,Hasilpur,Father,Yes,Yes,No,No,No,No,No,No,No,No,No,No,0,NAT,63,G1715-120238,100,,0,,0,1752146,0,1/8/2018,,1/9/2018 11:28,2015,846922,916,1100,Matric/SSC,Annual,BISE Bahwalpur,Science,2017,606106,906,1100,FSc,Annual,BISE Bahwalpur,Pre-Medical,,171,200,,158,200,,174,200,,153,200,,0,0,,0,0,0,,0,0,,Annual,,0,0,,0,0,,0,0,,0,0,,,,,,,0,0,No
